time,massFlow,test,unit
"60,00066085","0,430400398",2019_07_01,A1
"120,0004019","0,480976341",2019_07_01,A1
"180,0005477","0,4544918552",2019_07_01,A1
"240,0005104","0,4382235679",2019_07_01,A1
"300,0005574","0,4311841509",2019_07_01,A1
"360,00099","0,4265449074",2019_07_01,A1
"420,0006905","0,2109408619",2019_07_01,A1
"480,0010146","0,2824095604",2019_07_01,A1
"540,0002109","0,2842066859",2019_07_01,A1
"600,0006155","0,2815521504",2019_07_01,A1
"660,0004264","0,2816826367",2019_07_01,A1
"720,0001668","0,2760728427",2019_07_01,A1
"780,0003866","0,2732730627",2019_07_01,A1
"840,0002548","0,2735495448",2019_07_01,A1
"900,0018577","0,2741995224",2019_07_01,A1
"960,002278","0,277645774",2019_07_01,A1
"1020,002174","0,2754384915",2019_07_01,A1
"1080,002658","0,2698981812",2019_07_01,A1
"1140,002864","0,2626580093",2019_07_01,A1
"1200,004029","0,2666520164",2019_07_01,A1
"1260,003124","0,2624471042",2019_07_01,A1
"1320,003068","0,2604537819",2019_07_01,A1
"1380,005071","0,2616634684",2019_07_01,A1
"1440,005531","0,2637715339",2019_07_01,A1
"1500,00557","0,2599002834",2019_07_01,A1
"1560,005478","0,2548844227",2019_07_01,A1
"1620,005598","0,254107231",2019_07_01,A1
"1680,005481","0,2535613287",2019_07_01,A1
"1740,007078","0,2541676494",2019_07_01,A1
"1800,006296","0,2602886873",2019_07_01,A1
"1860,006945","0,2604506433",2019_07_01,A1
"1920,007091","0,2622046461",2019_07_01,A1
"1980,006095","0,2576410968",2019_07_01,A1
"2040,006193","0,2561724244",2019_07_01,A1
"2100,006229","0,2540220877",2019_07_01,A1
"2160,006243","0,2536473401",2019_07_01,A1
"2220,006273","0,2541113212",2019_07_01,A1
"2280,006363","0,2524803756",2019_07_01,A1
"2340,00649","0,251257567",2019_07_01,A1
"2400,006468","0,2534379543",2019_07_01,A1
"2460,006394","0,2568756416",2019_07_01,A1
"2520,006413","0,2525333314",2019_07_01,A1
"2580,006394","0,2533242796",2019_07_01,A1
"2640,006483","0,2553194551",2019_07_01,A1
"2700,006488","0,2542405722",2019_07_01,A1
"2760,006534","0,2565639335",2019_07_01,A1
"2820,006576","0,2499035042",2019_07_01,A1
"2880,006684","0,2543110575",2019_07_01,A1
"2940,006781","0,2529114179",2019_07_01,A1
"3000,006818","0,2566258377",2019_07_01,A1
"3060,006847","0,2463912247",2019_07_01,A1
"3120,006941","0,2526769565",2019_07_01,A1
"3180,006994","0,2537843374",2019_07_01,A1
"3240,007138","0,2539962609",2019_07_01,A1
"3300,008109","0,251352794",2019_07_01,A1
"3360,007116","0,2547844043",2019_07_01,A1
"3420,007129","0,2561516227",2019_07_01,A1
"3480,00718","0,2523971856",2019_07_01,A1
"3540,007368","0,2550999355",2019_07_01,A1
"3600,007362","0,2576047356",2019_07_01,A1
"3660,007409","0,2526773405",2019_07_01,A1
"3720,007483","0,253771616",2019_07_01,A1
"3780,007545","0,255964875",2019_07_01,A1
"3840,007615","0,2559872126",2019_07_01,A1
"3900,007679","0,2548989639",2019_07_01,A1
"3960,00778","0,2577183602",2019_07_01,A1
"4020,007817","0,2558804662",2019_07_01,A1
"4080,007868","0,2546625158",2019_07_01,A1
"4140,00786","0,2511021554",2019_07_01,A1
"4200,007983","0,2532020238",2019_07_01,A1
"4260,008063","0,2544598747",2019_07_01,A1
"4320,009083","0,2523660164",2019_07_01,A1
"4380,010081","0,2500134893",2019_07_01,A1
"4440,009346","0,2525319791",2019_07_01,A1
"4500,009304","0,2516944358",2019_07_01,A1
"4560,00939","0,2512976846",2019_07_01,A1
"4620,009573","0,2559006335",2019_07_01,A1
"4680,00955","0,251909598",2019_07_01,A1
"4740,009747","0,2506075728",2019_07_01,A1
"4800,009686","0,2500427219",2019_07_01,A1
"4860,009327","0,2503358487",2019_07_01,A1
"4920,009478","0,255830265",2019_07_01,A1
"4980,009511","0,2585586916",2019_07_01,A1
"5040,009464","0,2539034212",2019_07_01,A1
"5100,009531","0,2544058504",2019_07_01,A1
"5160,009566","0,2540329894",2019_07_01,A1
"5220,009626","0,2565125971",2019_07_01,A1
"5280,009676","0,2576567899",2019_07_01,A1
"5340,009772","0,2525401596",2019_07_01,A1
"5400,009772","0,2528880285",2019_07_01,A1
"5460,009845","0,2545502435",2019_07_01,A1
"5520,009902","0,2476656535",2019_07_01,A1
"5580,009919","0,250900349",2019_07_01,A1
"5640,009662","0,2521135915",2019_07_01,A1
"5700,009701","0,2579544243",2019_07_01,A1
"5760,009783","0,2574183385",2019_07_01,A1
"5820,009806","0,2499179285",2019_07_01,A1
"5880,009863","0,2518434367",2019_07_01,A1
"5940,009901","0,2500137565",2019_07_01,A1
"6000,009947","0,2545450347",2019_07_01,A1
"6060,010041","0,2531567309",2019_07_01,A1
"6120,010079","0,2528062242",2019_07_01,A1
"6180,009098","0,2519062424",2019_07_01,A1
"6240,009236","0,251467003",2019_07_01,A1
"6300,009316","0,2468177761",2019_07_01,A1
"6360,00924","0,2576227326",2019_07_01,A1
"6420,009211","0,2478106309",2019_07_01,A1
"6480,00927","0,2529060255",2019_07_01,A1
"6540,009285","0,2548996484",2019_07_01,A1
"6600,009438","0,2538761754",2019_07_01,A1
"6660,009464","0,251656739",2019_07_01,A1
"6720,009542","0,2535382231",2019_07_01,A1
"6780,009548","0,2543213248",2019_07_01,A1
"6840,009649","0,252126797",2019_07_01,A1
"6900,009742","0,2537415654",2019_07_01,A1
"6960,009708","0,253594351",2019_07_01,A1
"7020,009716","0,2546921324",2019_07_01,A1
"7080,009806","0,251620478",2019_07_01,A1
"7140,009898","0,2508374765",2019_07_01,A1
"7200,009952","0,2514289723",2019_07_01,A1
"7260,01005","0,2487325663",2019_07_01,A1
"7320,010092","0,2512728261",2019_07_01,A1
"7380,009886","0,2529749081",2019_07_01,A1
"7440,009882","0,2492061135",2019_07_01,A1
"7500,009926","0,2588475612",2019_07_01,A1
"7560,011056","0,2538527693",2019_07_01,A1
"7620,011103","0,2560544758",2019_07_01,A1
"7680,010147","0,2549145735",2019_07_01,A1
"7740,010183","0,2523152643",2019_07_01,A1
"7800,010246","0,2529872289",2019_07_01,A1
"7860,010342","0,2550841924",2019_07_01,A1
"7920,010328","0,2469720525",2019_07_01,A1
"7980,010451","0,250905324",2019_07_01,A1
"8040,010606","0,247741381",2019_07_01,A1
"8100,010712","0,2531214381",2019_07_01,A1
"8160,010459","0,2525644505",2019_07_01,A1
"8220,010461","0,2530830235",2019_07_01,A1
"8280,010545","0,2539334718",2019_07_01,A1
"8340,010636","0,2524472365",2019_07_01,A1
"8400,010694","0,2528246051",2019_07_01,A1
"8460,010864","0,252730914",2019_07_01,A1
"8520,010844","0,2471042918",2019_07_01,A1
"8580,010945","0,2457439851",2019_07_01,A1
"8640,010834","0,2562190028",2019_07_01,A1
"8700,010853","0,2509238719",2019_07_01,A1
"8760,010954","0,2496669226",2019_07_01,A1
"8820,010899","0,2474398233",2019_07_01,A1
"8880,0109","0,2476142503",2019_07_01,A1
"8940,0119","0,247540042",2019_07_01,A1
"9000,012049","0,2465391237",2019_07_01,A1
"9060,012066","0,247412494",2019_07_01,A1
"9120,011133","0,2497382093",2019_07_01,A1
"9180,011233","0,2525613453",2019_07_01,A1
"9240,011285","0,2510942421",2019_07_01,A1
"9300,011345","0,2487861064",2019_07_01,A1
"9360,011391","0,2500781649",2019_07_01,A1
"9420,011457","0,2479626702",2019_07_01,A1
"9480,011223","0,2451584327",2019_07_01,A1
"9540,01127","0,2498303811",2019_07_01,A1
"9600,011516","0,2495344829",2019_07_01,A1
"9660,012081","0,2500304178",2019_07_01,A1
"9720,011256","0,2538006816",2019_07_01,A1
"9780,01136","0,2533145799",2019_07_01,A1
"9840,011267","0,2555422134",2019_07_01,A1
"9900,011347","0,2534986398",2019_07_01,A1
"9960,011438","0,2482025574",2019_07_01,A1
"10020,01147","0,2518884959",2019_07_01,A1
"10080,0115","0,2529719532",2019_07_01,A1
"10140,01152","0,2544263349",2019_07_01,A1
"10200,01159","0,2542757147",2019_07_01,A1
"10260,01162","0,256685054",2019_07_01,A1
"10320,01172","0,2574135304",2019_07_01,A1
"10380,01172","0,2561504707",2019_07_01,A1
"10440,0126","0,2567605812",2019_07_01,A1
"10500,01268","0,2533359326",2019_07_01,A1
"10560,01264","0,2584331803",2019_07_01,A1
"10620,01271","0,2614332975",2019_07_01,A1
"10680,01388","0,2606127328",2019_07_01,A1
"10740,01398","0,2638353914",2019_07_01,A1
"10800,01315","0,2593586383",2019_07_01,A1
"10860,01421","0,2594000747",2019_07_01,A1
"10920,01433","0,2576808805",2019_07_01,A1
"10980,01445","0,2537477926",2019_07_01,A1
"11040,01419","0,2622805071",2019_07_01,A1
"11100,0143","0,2584091732",2019_07_01,A1
"11160,01439","0,2589336227",2019_07_01,A1
"11220,01444","0,2611222239",2019_07_01,A1
"11280,01421","0,2615253859",2019_07_01,A1
"11340,01426","0,2570163952",2019_07_01,A1
